County,Total_beds
baringo,820
bomet,845
bungoma,2038
busia,1314
elgeyo-marakwet,858
embu,1705
garissa,864
homa bay,2006
isiolo,694
kajiado,1445
kakamega,2464
kericho,1865
kiambu,3790
kilifi,1016
kirinyaga,1552
kisii,3108
kisumu,2956
kitui,1572
kwale,521
laikipia,824
lamu,233
machakos,2463
makueni,1316
mandera,1154
marsabit,639
meru,2239
migori,2792
mombasa,1839
murang'a,997
nairobi,9504
nakuru,3144
nandi,839
narok,1170
nyamira,1121
nyandarua,588
nyeri,2175
samburu,590
siaya,1475
taita taveta,443
tana river,319
tharaka-nithi,1016
trans nzoia,853
turkana,869
uasin gishu,2216
vihiga,874
wajir,601
west pokot,557
