County,Total_beds,Total_facilities,closed,fully-functional,non-functional,semi-functional,Total_health_units,Pct_fully_functional,Pct_non_functional,Total_pharmacies,Registered_pharmacies,Pct_pharmacies_registered,Public_facilities,Total_for_ownership,Public_facility_ratio,Facility_reported_beds,Suspect_zero_bed_count,Population,Beds_per_10k,Facilities_per_10k,Pharmacies_per_10k,Infrastructure_score
baringo,820,251,0,23,23,11,57,40.4,40.4,182,1,0.5,0,251,0.0,820.0,9,666763,12.3,3.76,2.73,0.208
bomet,845,188,0,49,0,69,118,41.5,0.0,123,4,3.3,0,188,0.0,849.0,11,875689,9.65,2.15,1.4,0.173
bungoma,2038,244,0,224,2,91,317,70.7,0.6,124,1,0.8,0,244,0.0,2038.0,3,1670570,12.2,1.46,0.74,0.317
busia,1314,157,0,182,0,3,185,98.4,0.0,70,2,2.9,0,157,0.0,1314.0,2,893681,14.7,1.76,0.78,0.455
elgeyo-marakwet,858,134,0,11,32,19,62,17.7,51.6,93,17,18.3,0,134,0.0,858.0,15,454480,18.88,2.95,2.05,0.222
embu,1705,218,3,34,1,7,45,75.6,2.2,110,4,3.6,0,218,0.0,1720.0,1,608599,28.02,3.58,1.81,0.568
garissa,864,184,0,67,1,9,77,87.0,1.3,63,1,1.6,0,184,0.0,864.0,24,841353,10.27,2.19,0.75,0.349
homa bay,2006,328,1,231,10,35,277,83.4,3.6,144,5,3.5,0,328,0.0,2011.0,19,1131950,17.72,2.9,1.27,0.445
isiolo,694,69,0,2,4,17,23,8.7,17.4,45,3,6.7,0,69,0.0,694.0,0,268002,25.9,2.57,1.68,0.293
kajiado,1445,346,0,81,10,15,106,76.4,9.4,94,2,2.1,0,346,0.0,1449.0,12,1117840,12.93,3.1,0.84,0.349
kakamega,2464,332,0,255,4,174,433,58.9,0.9,130,5,3.8,0,332,0.0,2489.0,20,1867579,13.19,1.78,0.7,0.289
kericho,1865,234,0,12,9,6,27,44.4,33.3,158,0,0.0,0,234,0.0,1865.0,1,901777,20.68,2.59,1.75,0.346
kiambu,3790,666,2,105,2,53,162,64.8,1.2,132,5,3.8,0,666,0.0,3868.0,28,2417735,15.68,2.75,0.55,0.347
kilifi,1016,348,2,68,2,11,83,81.9,2.4,141,6,4.3,0,348,0.0,1016.0,13,1453787,6.99,2.39,0.97,0.282
kirinyaga,1552,264,0,30,0,14,44,68.2,0.0,77,10,13.0,0,264,0.0,1608.0,15,610411,25.43,4.32,1.26,0.503
kisii,3108,230,0,103,3,21,127,81.1,2.4,83,1,1.2,0,230,0.0,3108.0,34,1266860,24.53,1.82,0.66,0.537
kisumu,2956,289,1,117,9,54,181,64.6,5.0,76,0,0.0,0,289,0.0,2956.0,28,1155574,25.58,2.5,0.66,0.492
kitui,1572,446,4,111,8,176,299,37.1,2.7,290,4,1.4,0,446,0.0,1577.0,21,1136187,13.84,3.93,2.55,0.219
kwale,521,175,1,73,6,10,90,81.1,6.7,111,3,2.7,0,175,0.0,521.0,6,866820,6.01,2.02,1.28,0.264
laikipia,824,202,0,10,0,2,12,83.3,0.0,85,0,0.0,0,202,0.0,824.0,4,518560,15.89,3.9,1.64,0.418
lamu,233,56,0,7,3,4,14,50.0,21.4,31,0,0.0,0,56,0.0,233.0,3,143920,16.19,3.89,2.15,0.301
machakos,2463,410,0,28,10,129,167,16.8,6.0,165,1,0.6,0,410,0.0,2463.0,13,1421932,17.32,2.88,1.16,0.196
makueni,1316,343,0,33,1,57,91,36.3,1.1,210,0,0.0,0,343,0.0,1346.0,12,987653,13.32,3.47,2.13,0.208
mandera,1154,152,0,15,0,0,15,100.0,0.0,58,6,10.3,0,152,0.0,1199.0,14,867457,13.3,1.75,0.67,0.441
marsabit,639,123,0,29,3,26,58,50.0,5.2,67,1,1.5,0,123,0.0,639.0,14,459785,13.9,2.68,1.46,0.267
meru,2239,529,3,68,3,85,159,42.8,1.9,178,3,1.7,0,529,0.0,2239.0,25,1545714,14.49,3.42,1.15,0.249
migori,2792,290,2,173,0,31,206,84.0,0.0,130,4,3.1,0,290,0.0,2796.0,5,1116436,25.01,2.6,1.16,0.555
mombasa,1839,308,0,37,1,3,41,90.2,2.4,46,0,0.0,0,308,0.0,1829.0,11,1208333,15.22,2.55,0.38,0.433
murang'a,997,333,0,82,21,16,119,68.9,17.6,149,2,1.3,0,333,0.0,997.0,21,1056640,9.44,3.15,1.41,0.27
nairobi,9504,1005,90,449,7,16,562,79.9,1.2,143,4,2.8,0,1005,0.0,8088.0,59,4397073,21.61,2.29,0.33,0.49
nakuru,3144,562,0,73,3,37,113,64.6,2.7,181,19,10.5,0,562,0.0,3144.0,15,2162202,14.54,2.6,0.84,0.33
nandi,839,232,0,27,19,1,47,57.4,40.4,156,12,7.7,0,232,0.0,926.0,2,885711,9.47,2.62,1.76,0.229
narok,1170,197,0,19,14,7,40,47.5,35.0,110,3,2.7,0,197,0.0,1166.0,7,1157873,10.1,1.7,0.95,0.202
nyamira,1121,173,1,70,1,13,85,82.4,1.2,69,0,0.0,0,173,0.0,1133.0,6,605576,18.51,2.86,1.14,0.453
nyandarua,588,167,0,30,2,13,45,66.7,4.4,66,0,0.0,0,167,0.0,594.0,7,638289,9.21,2.62,1.03,0.259
nyeri,2175,423,0,88,1,44,133,66.2,0.8,135,0,0.0,0,423,0.0,2175.0,6,759164,28.65,5.57,1.78,0.543
samburu,590,109,0,35,1,2,38,92.1,2.6,66,4,6.1,0,109,0.0,590.0,3,310327,19.01,3.51,2.13,0.496
siaya,1475,242,4,155,1,38,198,78.3,0.5,110,2,1.8,0,242,0.0,1475.0,30,993183,14.85,2.44,1.11,0.384
taita taveta,443,106,0,18,0,11,29,62.1,0.0,48,0,0.0,0,106,0.0,443.0,11,340671,13.0,3.11,1.41,0.298
tana river,319,80,0,33,0,16,49,67.3,0.0,58,4,6.9,0,80,0.0,321.0,2,315943,10.1,2.53,1.84,0.274
tharaka-nithi,1016,164,0,92,2,4,98,93.9,2.0,90,1,1.1,0,164,0.0,1016.0,5,393177,25.84,4.17,2.29,0.603
trans nzoia,853,181,0,38,6,27,71,53.5,8.5,59,2,3.4,0,181,0.0,883.0,18,1030206,8.28,1.76,0.57,0.197
turkana,869,256,0,143,13,15,171,83.6,7.6,188,2,1.1,0,256,0.0,901.0,7,926975,9.37,2.76,2.03,0.323
uasin gishu,2216,240,0,50,10,66,126,39.7,7.9,129,1,0.8,0,240,0.0,2251.0,12,1163186,19.05,2.06,1.11,0.305
vihiga,874,115,0,66,0,15,81,81.5,0.0,48,7,14.6,0,115,0.0,879.0,2,590013,14.81,1.95,0.81,0.395
wajir,601,140,0,27,5,10,42,64.3,11.9,73,3,4.1,0,140,0.0,601.0,27,781263,7.69,1.79,0.93,0.228
west pokot,557,153,0,13,15,7,35,37.1,42.9,125,0,0.0,0,153,0.0,557.0,3,621241,8.97,2.46,2.01,0.147
