County,Beds_per_10k,Facilities_per_10k,Pharmacies_per_10k,Pct_fully_functional,Pct_non_functional,Pct_pharmacies_registered,Suspect_zero_bed_count
baringo,-0.05262280192384062,0.0024005309101833646,-0.001907834057055491,-0.07074475473582201,-0.00582905998166497,-0.00021225340196528625,6.778537296321134e-05
bomet,-0.06374677000046175,-0.002049678553021172,-0.0008188561555928077,-0.06955645475894881,0.0030406700437066534,-0.00031760778636165735,-0.00025521913788657444
bungoma,-0.06431028995368206,-0.0008584337413112024,0.00529933346492119,0.03356857551167811,0.0020616158431243717,-9.031842364295208e-05,0.0005082447003599868
busia,-0.005540737009332373,-0.0005406080098898338,0.0024774958200611333,0.07093123357946915,0.00505306742512286,0.00019108354023625632,0.0007135338128026034
elgeyo-marakwet,0.03323657930352983,-0.0003831036660561452,-0.0011553275526014852,-0.09161783497584189,-0.010875430848211786,-0.0002649390904439848,-0.0022385664243617727
embu,0.12467382817491962,0.0018097695326291772,-1.7428870141728686e-05,0.05518530622879028,0.004366047092967836,-0.0005123876698868304,0.0015128017579850578
garissa,-0.07374537142027245,-0.0011604287658394713,0.004551157932111598,0.06582638478449568,0.0009025983067307,-0.00018754038023562894,-0.0005611114955294224
homa bay,0.02449770559432656,-0.0006091661094616672,-0.001143708322699474,0.07073711653270602,0.001331051448009215,4.8809971015878516e-05,-0.0008206482554599256
isiolo,0.10716051152897417,-6.714590343612797e-05,-0.00025855380314817613,-0.08501486503466583,-0.010388013887707399,-0.0009134047842158093,0.00262472166515119
kajiado,-0.05840830033487986,0.0003443837097498329,0.004469250612835936,0.04500571464264654,-0.0031475174616659284,6.68920592384773e-05,-0.00019397914103878256
kakamega,-0.035934070972167206,-0.0010201217916397515,0.004439624831651902,-0.0391450821054451,0.002236895706328592,-0.000584724362997055,-0.0015718327082087503
kericho,0.061754569498171374,0.0006394021192719389,-0.00018765005890971503,-0.07607189754744223,-0.009575124799176845,0.0008132607120015066,0.0019335253990301199
kiambu,-0.00334234139315502,0.00044925056119033584,0.0033145170110190623,0.008527945232665791,0.0027018594721276955,-0.0005549301702914767,-0.00023593185552627538
kilifi,-0.08077576398626134,-0.0010867632045926455,-0.0026067282366077325,0.052427264672865174,0.0006329310174638446,-0.0001392389408116157,-0.0008691606624775256
kirinyaga,0.11967046374324494,0.0022710056527864607,-0.0013048147523797152,0.03935737307629614,0.005469993776621027,-0.001076184145986009,-0.001752818241736435
kisii,0.11662753290388574,-0.0013100674916584364,0.0015303096635266918,0.060499139501268256,0.0035987494677219476,0.0004271973098497467,-0.0015019749463804674
kisumu,0.108362708242723,-0.0009041513083495773,0.0021631714058095095,0.006872193147128759,-0.0023592725009901976,0.0007978625690931348,-0.001130120360321304
kitui,-0.03772045831127425,0.0019485823107626913,-0.0019100878865490518,-0.07809083664515341,0.0014156785839990781,-0.0004729739794439059,-0.0016004620377699326
kwale,-0.07981624741052973,-0.0008488626943026553,-0.0028603891197894085,0.04651282336602471,-0.003360488937193766,-2.477122342417529e-05,0.0003578312460412976
laikipia,-0.00042475542599553634,0.0012154220922224524,-0.001085065966438504,0.0678676443352157,0.004662770954063604,-0.00015677652993029546,0.0012143283812060305
lamu,0.0041006984899597055,0.00147772096389952,-0.0010240220270994332,-0.06054759266963715,-0.005055777760818134,0.0007457427418605014,0.0018664218168257538
machakos,0.007391341309024979,-0.0007642761975086713,-0.0008895408651294865,-0.08588267379645989,-0.0015417858476452718,-3.1507013082708536e-05,-0.002443712579678663
makueni,-0.04145423582875324,0.0006801660789153422,-0.002199594891991788,-0.07765950529122116,0.002169429934011799,0.0004638710194171138,-0.00033939365613652213
mandera,-0.042281459596560954,-0.0006717553387445015,0.0044310407138294875,0.07437017997308437,0.004256494588952769,8.691500556706495e-05,-0.0010467681182605134
marsabit,-0.031234337276726375,0.0008439372494044263,-0.0008937601895856737,-0.057562979470939,-0.0006983536162360745,-0.00039106470504064397,-0.0025479416200457484
meru,-0.02589074218468786,0.00040882035113978034,-0.0012665856977856858,-0.06817618131540462,0.00213279551198595,-0.00036982125989775235,-0.0017040559985274572
migori,0.11376470230816539,-6.311268049476987e-05,-0.001146621183088166,0.06737141574774616,0.005451496452702114,-3.76791536198029e-05,0.002332821280439056
mombasa,-0.0024359863204265588,-0.00024802372865673737,0.0024698291901035685,0.06969660011554918,0.001807143463171841,-0.00016213113985937336,-0.0002726345520593072
murang'a,-0.07421968458501231,0.0005578493449519036,-0.002911944548158755,0.027225130627419106,-0.0037091682757041805,-0.00022521009451793178,-0.000344440994102976
nairobi,0.0880248013303493,-0.0013965510416978379,0.0017034341413880115,0.05790756288874396,0.0039760594465248905,-0.00027844108140832635,-0.0014008507580687793
nakuru,-0.02690591873880029,0.00019804318580974234,0.004145861274345981,0.008335442885644848,0.001284546201935738,-0.00038162419258124414,-0.0006595926453950899
nandi,-0.05898844699331086,0.0007018836904196645,-0.0014033789793089443,-0.04438700782495431,-0.0057718089799118225,-0.00011381758498389432,0.0005714912956146023
narok,-0.059254159155874356,-0.0019315324745133912,-0.0011241186062806749,-0.06078115552337637,-0.005669788011516487,-0.00033796978399759127,-2.8903626664148773e-05
nyamira,0.03573506877174635,-0.0006136802030728782,-0.0010565884094363726,0.06756261304767607,0.003109805291355936,0.00031823240675949317,0.00039559370939325114
nyandarua,-0.07550040762237817,-0.00016171335372332815,-0.002467163955149869,0.018442553596225056,-0.0012434789726916788,0.0001620377723232885,1.6818097571148434e-05
nyeri,0.12470629968076383,0.0025932594631049143,-0.00030934162395179966,0.024909730974012653,0.004984217050326003,0.0007042618429870903,0.0014487086463455523
samburu,0.05938224070792559,0.0008317985541263257,-0.0004212902354488666,0.07335134987438839,0.0021775876394531726,-0.00027869379966027506,0.0007421983488587224
siaya,-0.006468787048662997,-0.0007561242476906462,-0.00138735444309745,0.05087298977005205,0.004844654214914655,0.00012635706326269536,-0.0004915007835870153
taita taveta,-0.04241157581620032,0.00030840914682064396,-0.0014913081430931658,-0.02952926653343997,0.0029387044436823924,0.000788154999847209,0.0007556299176620118
tana river,-0.07291653150757216,-0.0007946731750583733,-0.0026794789494351766,0.01968756611607576,0.0040567322894196805,-0.00010267420853666175,0.00044271475141805747
tharaka-nithi,0.11849561156474289,0.0020297744175618746,-0.00043272642117308656,0.0696694344235375,0.004326000262952804,0.00042347231547847536,0.00234004932396763
trans nzoia,-0.05782317266313939,-0.0019324612911164097,0.0034596262418108916,-0.054692437286994605,-0.002320062562654221,-0.00021373262117069656,-0.0006828418545588547
turkana,-0.07772022968762257,0.00015276314444521186,-0.0028594668804156494,0.06225641425169423,-0.0035157243276538967,-0.0003934839193928208,-0.00017189601553089032
uasin gishu,0.05196468394108593,-0.0007263321801709004,-0.00042377449033667515,-0.08254624639031977,-0.006711046453744516,5.207112233585233e-05,0.00012659943584299058
vihiga,-0.00718058720973599,-0.0005406080098898338,0.0026777818483754564,0.055190251078753444,0.005040140408438033,-0.0001442346231000347,0.0005768671461359365
wajir,-0.060102973208872805,-0.0013379965589690058,-0.001298827593895388,-0.019797624957934055,-0.0031257213624998996,-0.0003433251134089758,-0.0004171412338742135
west pokot,-0.061348319409016444,-0.0019579578141058593,-0.0021450263481439893,-0.07176741970041929,-0.00576900224232317,0.00030841713661748627,0.0008345196222386107
